Year,Model,Color,Base MSRP,Total MSRP,Selling Price,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,eta.currFromDate,eta.currToDate,VIN,Dealer,Dealer State,Options
2024,Tacoma TRD Sport 4WD,WIND CHILL PEARL*,46300,55714,0.0,0,46300,At dealer,False,Available,2024-07-10,2024-07-11,3TYLC5LN0RT001480,Krause Toyota,PA,50 State Emissions | BedStep®[installed_msrp] | Center Console Safe[installed_msrp] | Door Edge Guards[installed_msrp] | Exhaust Tip - Black Chrome[installed_msrp] | Illuminated Front Emblem[installed_msrp] | Integrated Dashcam[installed_msrp] | Owner's Portfolio | Premium Paint | Quick Charging Cable Package[installed_msrp] | Spray On Bedliner[installed_msrp] | TRD Sport Upgrade Package | Tube Steps- Silver[installed_msrp]
2024,Tacoma TRD Sport 4WD,CELESTIAL SILVER METALLIC,46300,59239,55472.0,0,46300,At dealer,False,Available,2024-07-15,2024-07-17,3TYLC5LN0RT001656,West Herr Toyota of Orchard Park,NY,50 State Emissions | Ball Mount[installed_msrp] | BedStep®[installed_msrp] | Door Edge Guards[installed_msrp] | Owner's Portfolio | Predator Tube Steps[installed_msrp] | Roof Rack | Spray On Bedliner[installed_msrp] | TRD Sport Premium Package
2024,Tacoma TRD Off-Road 4WD,BLACK,46600,57267,0.0,0,46600,At dealer,False,Available,2024-07-18T04:00:00.000Z,2024-07-23T04:00:00.000Z,3TYLC5LN0RT001852,Peter Boulware Toyota,FL,"50 State Emissions | 6-Gallons of Gas | ARB Rear Tow Hooks | All Weather Floor Mats - Boxed | Audio Multimedia Upgrade - includes | Bed Scene Lighting | Gloss Black ""Tacoma"" Tailgate Inserts | ILA Confirmation | Phone Cable Charge Package | Rock Rails | SET Digital Portfolio | Spray-on Bed Liner | TOYOGUARD Platinum | TRD Off-Road Upgrade Package (5ft bed) -"
2024,Tacoma TRD Sport 4WD,BLACK,46300,54739,0.0,0,46300,At dealer,False,DealerHold,,,3TYLC5LN0RT002614,Berglund Toyota,VA,50 State Emissions | Door Edge Guards[installed_msrp] | Door Panel Scuff Protectors[installed_msrp] | Illuminated Front Emblem[installed_msrp] | Owner's Portfolio | Quick Charging Cable Package[installed_msrp] | Spray On Bedliner[installed_msrp] | TRD Sport Upgrade Package | Tailgate Insert - Black[installed_msrp] | Tonneau Cover: Hard Tri-Fold[installed_msrp]
2024,Tacoma TRD Off-Road 4WD,ICE CAP,46600,57805,54401.0,0,46600,At dealer,False,Available,2024-07-15T04:00:00.000Z,2024-07-20T04:00:00.000Z,3TYLC5LN0RT002645,Pitts Toyota,GA,"50 State Emissions | 6-Gallons of Gas | ARB Rear Tow Hooks | Audio Multimedia Upgrade - includes | Bed Scene Lighting | Center Console Safe | Clear Paint Protection - Door Package | Gloss Black ""Tacoma"" Tailgate Inserts | ILA Confirmation | Multimedia Screen Protector | Phone Cable Charge Package | Rock Rails | SET Digital Portfolio | Spray-on Bed Liner | TOYOGUARD Platinum | TRD Off-Road Upgrade Package (5ft bed) -"
2024,Tacoma TRD Sport 4WD,CELESTIAL SILVER METALLIC,46300,51856,0.0,199,46499,At dealer,False,Available,,2024-07-29T00:00:00.000Z,3TYLC5LN0RT003519,Poe Toyota,TX,50 State Emissions | Ball Mount | Bed Extender | Bed Step (non-powered)** | Blackout Package | Connectivity Kit | Dash Cam | Exhaust Tip - Black Chrome** | Mudguards | PDS - with Texas State Inspection | Predator Drop Step** | Spray-On Bed Liner** | VIN Etching | Vehicle Fueling | Vehicle Protection Premium Package
2024,Tacoma TRD Off-Road 4WD,CELESTIAL SILVER METALLIC,46600,56256,0.0,2980,49580,At dealer,False,Available,,2024-07-29T00:00:00.000Z,3TYLC5LN0RT003598,Joe Myers Toyota,TX,50 State Emissions | ARB Rear Tow Hooks** | Ball Mount | Bed Extender | Blackout Package | Connectivity Kit | Dash Cam | Exhaust Tip - Black Chrome** | Mudguards | Owner's Portfolio | PDS - with Texas State Inspection | Predator Drop Step** | Spray-On Bed Liner** | TRD Off-Road Upgrade Package<br> | VIP  PROTECTION PACKAGE | Vehicle Fueling | Vehicle Protection Package
2024,Tacoma TRD Sport 4WD,WIND CHILL PEARL*,46300,57359,0.0,0,46300,At dealer,False,Available,,,3TYLC5LN0RT003682,Imperial Toyota,MA,50 State Emissions | Mudguards | Predator Tube Steps[installed_msrp] | Premium Paint | TRD Sport Premium Package | Tailgate Insert - Gunmetal[installed_msrp]
2024,Tacoma TRD Sport 4WD,BLACK,46300,55124,0.0,0,46300,At dealer,False,DealerHold,2024-08-18,2024-08-20,3TYLC5LN0RT004217,Thornhill Toyota,WV,14-in. Audio Multimedia Display (with TRD Sport Upgrade Package) | 50 State Emissions | Door Edge Guards[installed_msrp] | Exhaust Tip - Black Chrome[installed_msrp] | Illuminated Front Emblem[installed_msrp] | Moonroof<br> | Mudguards | Owner's Portfolio | Predator Tube Steps[installed_msrp] | TRD Sport Upgrade Package | Tailgate Insert - Black[installed_msrp]
2024,Tacoma TRD Sport 4WD,CELESTIAL SILVER METALLIC,46300,57044,53377.0,0,46300,At dealer,False,Available,,,3TYLC5LN0RT004282,Toyota of Smithfield,RI,50 State Emissions | Door Edge Guards[installed_msrp] | Exhaust Tip - Black Chrome[installed_msrp] | Owner's Portfolio | Spray On Bedliner[installed_msrp] | TRD Sport Premium Package | Tailgate Insert - Black[installed_msrp]
