Year,Model,Color,Base MSRP,Total MSRP,Selling Price,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,eta.currFromDate,eta.currToDate,VIN,Dealer,Dealer State,Options
2024,Land Cruiser 4WD,Wind Chill Pearl,61950,70989,0.0,0,61950,At dealer,False,DealerHold,2024-10-10,2024-10-10,JTEABFAJ0R5006790,Grieco Toyota,RI,20-in. Alloy Wheels | 50 State Emissions | Carpet Floor Mats[installed_msrp] | Door Edge Guard[installed_msrp] | Illuminated Door Sills[installed_msrp] | Premium Package | Premium Paint | Quick Charging Cable Package[installed_msrp] | Roof Cross Bars[installed_msrp]
2024,Land Cruiser 4WD,Meteor Shower,61950,73274,0.0,0,61950,At dealer,False,Available,,,JTEABFAJ0R5006949,Sullivan Brothers Toyota,MA,"20-in. Alloy Wheels | 50 State Emissions | All-Weather Cargo Mat[installed_msrp] | Connected Services Trial Offering: 2 addt'l yrs of Drive Connect & Remote Connect[installed_msrp] | Door Edge Film | Front Skids w/ SDM:Front Skid Plate, Steel Skid Plate - Transmission | Illuminated Door Sills[installed_msrp] | Integrated Dashcam[installed_msrp] | Paint Protection Film[installed_msrp] | Premium Package | Roof Rack[installed_msrp] | Vertical Cargo Net[installed_msrp]"
2024,Land Cruiser 4WD,Underground,61950,71509,0.0,0,61950,At dealer,False,,2024-12-04,2024-12-05,JTEABFAJ0R5007311,Team Toyota,IN,20-in. Alloy Wheels | 50 State Emissions | All-Weather Cargo Mat[installed_msrp] | Alloy Wheel Locks: Black Chrome[installed_msrp] | Door Edge Guard[installed_msrp] | Paint Protection Film[installed_msrp] | Premium Package | Roof Rack[installed_msrp]
2024,Land Cruiser 4WD,Meteor Shower,61950,69730,0.0,0,61950,At dealer,False,Available,2024-12-07,2024-12-09,JTEABFAJ0R5007521,Beaman Toyota,TN,20-in. Alloy Wheels | 50 State Emissions | All-Weather Cargo Mat[installed_msrp] | Illuminated Door Sills[installed_msrp] | Premium Package
2024,Land Cruiser 4WD,Wind Chill Pearl,61950,70585,0.0,0,61950,Port to dealer,False,DealerHold,,,JTEABFAJ0R5007535,Edmark Toyota,ID,20-in. Alloy Wheels | 50 State Emissions | All-Weather Cargo Mat[installed_msrp] | Alloy Wheel Locks: Black Chrome[installed_msrp] | Connected Services Trial Offering: 2 addt'l yrs of Drive Connect & Remote Connect[installed_msrp] | Illuminated Door Sills[installed_msrp] | Premium Package | Premium Paint
2024,Land Cruiser 4WD,Meteor Shower,61950,65800,0.0,0,61950,At dealer,False,Available,,,JTEABFAJ0R5007552,Toyota of Somerset,KY,50 State Emissions | All-Weather Cargo Mat[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guard[installed_msrp] | Illuminated Door Sills[installed_msrp] | Moonroof | Quick Charging Cable Package[installed_msrp] | Roof Cross Bars[installed_msrp]
2024,Land Cruiser 4WD,Meteor Shower,61950,73274,74274.0,0,61950,Factory to port,False,Available,,,JTEABFAJ0R5007566,New Country Toyota of Westport,CT,"20-in. Alloy Wheels | 50 State Emissions | All-Weather Cargo Mat[installed_msrp] | Connected Services Trial Offering: 2 addt'l yrs of Drive Connect & Remote Connect[installed_msrp] | Door Edge Film | Front Skids w/ SDM:Front Skid Plate, Steel Skid Plate - Transmission | Illuminated Door Sills[installed_msrp] | Integrated Dashcam[installed_msrp] | Paint Protection Film[installed_msrp] | Premium Package | Roof Rack[installed_msrp] | Vertical Cargo Net[installed_msrp]"
2024,Land Cruiser 4WD,Underground,61950,69370,71870.0,0,61950,Port to dealer,True,DealerHold,,,JTEABFAJ0R5007633,Toyota Knoxville,TN,20-in. Alloy Wheels | 50 State Emissions | All-Weather Cargo Mat[installed_msrp] | Owner's Portfolio | Premium Package
2024,Land Cruiser 4WD,Black,61950,71445,71445.0,0,61950,Port to dealer,False,Available,,,JTEABFAJ0R5007664,Robinson Toyota,TN,20-in. Alloy Wheels | 50 State Emissions | All-Weather Cargo Mat[installed_msrp] | Body Side Moldings[installed_msrp] | Cargo Tote[installed_msrp] | Door Edge Guard[installed_msrp] | Emergency Assistance Kit[installed_msrp] | Premium Package | Quick Charging Cable Package[installed_msrp] | Roof Rack[installed_msrp]
2024,Land Cruiser 4WD,Black,61950,67544,67544.0,0,61950,Port to dealer,True,,,,JTEABFAJ0R5007695,Wilson Toyota,IA,20-in. Alloy Wheels | 50 State Emissions | Body Side Moldings[installed_msrp] | Carpet Cargo Mat[installed_msrp] | Carpet Floor Mats[installed_msrp] | Connected Services Trial Offering: 2 addt'l yrs of Drive Connect & Remote Connect[installed_msrp] | Door Edge Guard[installed_msrp] | Illuminated Door Sills[installed_msrp] | Moonroof | Quick Charging Cable Package[installed_msrp] | Roof Cross Bars[installed_msrp]
